STRID,LAN,Remark
MSG_DUEL_ERR1,"L¶i m¶i cüa bÕn vçn chßa ðßþc trä l¶i",
MSG_DUEL_ERR2,"Ð¯i phß½ng hi®n ðang so tài",
MSG_DUEL_ERROR1,"BÕn ðang trong trÕng thái chiªn ð¤u, không th¬ tiªn hành thách ð¤u so tài!",
MSG_DUEL_ERROR2,"Ð¯i phß½ng ðang trong trÕng thái chiªn ð¤u, không th¬ tiªn hành thách ð¤u so tài!",
MSG_DUEL_ERROR3,"BÕn hi®n ðang so tài!",
MSG_DUEL_ERROR4,"Ð¯i phß½ng hi®n ðang so tài!",
MSG_DUEL_ERROR5,"Khoäng cách hai bên quá xa!",
MSG_DUEL_INVITE,"%s mu¯n thách ð¤u, ngß½i ð°ng ý không?",
MSG_DUEL_OVER,"So tài kªt thúc!",
MSG_DUEL_TITLE_INVITE,"M¶i thách ð¤u",
msg_duel_winner_is,"%s sau khi so tài ðã th¡ng %s",
msg_dungeon_begin_already,"Ðã b¡t ð¥u thi ð¥u",
msg_dungeon_col_avglev,"Lv trung bình",
msg_dungeon_col_leader,"Nhóm trß·ng",
msg_dungeon_col_level_pve,"Lv ð¤u PVE",
msg_dungeon_col_level_pvp,"Lv ð¤u PVP",
msg_dungeon_col_team,Nhóm,
msg_dungeon_create_scene_failed,"TÕo l§p cänh th¤t bÕi",
msg_dungeon_error1,"ÐÕo hæu hi®n ðang trong Ð¤u trß¶ng, không th¬ vào nhóm khác",
msg_dungeon_error2,"Ð¯i phß½ng ðang trong Ð¤u trß¶ng, không th¬ vào nhóm cüa ðÕo hæu",
msg_dungeon_fail,"Ðã th¤t bÕi",
msg_dungeon_joinlimit_n,"LoÕi thi ð¤u này m²i ngày chï có th¬ tham gia t¯i ða %d l¥n, nhßng bÕn hi®n có th¬ vào Tu Luy®n Trß¶ng theo ki¬u hu¤n luy®n ",
msg_dungeon_joinlimit_single,"LoÕi tï thí này m²i ngày có th¬ tham gia t¯i ða %d l¥n, %s ðã vßþt khöi gi¾i hÕn, vui lòng ð±i thành viên",
msg_dungeon_kaishi,"B¡t ð¥u",
msg_dungeon_map1,"S¯ l¥n giúp ðÞ NPC Kh± Hành Ð¥u Ðà ch¯ng lÕi b÷n quái v§t t¤n công càng nhi«u thì ph¥n thß·ng linh lñc và kinh nghi®m thu ðßþc càng h§u hînh,  khi s¯ l¥n giúp ðÞ vßþt quá 20 l¥n còn có th¬ nh§n thêm ph¥n thß·ng nguyên th¥n.  — bän ð° này, quái v§t s¨ cùng phát ðµng t¤n công Kh± Hành Ð¥u Ðà t× 3 hß¾ng, chúng còn có Boss c¥m ð¥u. Không th¬ sØ døng Tiên Gi¾i Dßþc Thüy và các kÛ nång h°i sinh, bän ð° này m²i ngày chï ðßþc vào 3 l¥n.",
msg_dungeon_map2,"Th¶i gian chiªn ð¤u t¯i ða · bän ð° này là 1 tiªng, khi t¤n công ngß¶i ch½i ðµi ð¸ch ho£c NPC s¨ có th¬ thu ðßþc ði¬m. Trong th¶i gian quy ð¸nh, ðµi nào ðánh ð± ðßþc v§t tßþng trßng ( Sinh M®nh Chi Thø ) cüa ðµi kia thì ðµi ðó giành chiªn th¡ng, ho£c ðµi nào có ði¬m cao h½n thì thì ðµi ðó giành chiªn th¡ng. Không th¬ sØ døng Tiên Gi¾i Dßþc Thüy và các kÛ nång h°i sinh, bän ð° này m²i ngày chï ðßþc vào 2 l¥n.",
msg_dungeon_min_level,"Level th¤p nh¤t là %s",
msg_dungeon_mode1,"Thi ð¤u th¬ thao",
msg_dungeon_mode2,"Hu¤n luy®n",
msg_dungeon_mustindungeon,"B¡t buµc phäi trong Tu Luy®n Trß¶ng",
msg_dungeon_mustnotindungeon,"Không ðßþc · trong Tu Luy®n Trß¶ng",
msg_dungeon_no_trade,"Ð¤u trß¶ng này không có hình thÑc t§p luy®n",
msg_dungeon_not_open_yet,"Tu Luy®n Trß¶ng hi®n · trÕng thái tÕm ðóng",
msg_dungeon_notopen,"Ð¸a ð° này chßa m·",
msg_dungeon_only,"Chï sØ døng trong Tu Luy®n Trß¶ng",
msg_dungeon_pair_state0,"Chßa tham gia thi ð¤u",
msg_dungeon_pair_state1,"Ðang tham gia tñ ðµng ghép c£p cüa [%s] : (%s) ",
msg_dungeon_pair_state2,"Ðang ðþi thành viên chu¦n b¸",
msg_dungeon_pair_state3,"Ðang · trong Tu Luy®n Trß¶ng [%s] : (%s)",
msg_dungeon_pair_success,"L¶i m¶i thi ð¤u ðã ðßþc chuy¬n thành công, h® th¯ng s¨ tñ ðµng s¡p xªp thành viên cho bÕn, vui lòng ch¶",
msg_dungeon_passwd,"Hãy nh§p m§t mã phòng",
msg_dungeon_protect_lev,"Ðþt thÑ %d",
msg_dungeon_pvppair_success,"L¶i m¶i thi ð¤u ðã ðßþc chuy¬n thành công, h® th¯ng s¨ tñ ðµng tìm ð¯i thü tß½ng xÑng v¾i bÕn, vui lòng ch¶",
msg_dungeon_qxzhunbei,"Hüy quá trình chu¦n b¸",
msg_dungeon_quit_confirm,"BÕn quyªt ð¸nh r¶i khöi l¥n thi ð¤u này?",
msg_dungeon_reach_maxcount,"LoÕi Tu Luy®n Trß¶ng này ðã ðÕt s¯ ngß¶i t¯i ða",
msg_dungeon_reinvite,"%s ngß¶i t× ch¯i l¶i m¶i cüa bÕn.",
msg_dungeon_room_btn_ok,"Ðã chu¦n b¸ xong",
msg_dungeon_room_err1,"Phòng không trong trÕng thái chu¦n b¸ ",
msg_dungeon_room_err10,"S¯ thành viên nhóm 1 ðã ð¥y",
msg_dungeon_room_err11,"S¯ thành viên nhóm 2 ðã ð¥y",
msg_dungeon_room_err12,"BÕn ðang trong nhóm nên không th¬ tÕo ðßþc phòng",
msg_dungeon_room_err13,"BÕn ðang trong trÕng thái chiªn ð¤u nên không th¬ tÕo ðßþc phòng",
msg_dungeon_room_err14,"Ban ðang trong c¤m ð¸a nên không th¬ tÕo phòng",
msg_dungeon_room_err15,"C¤p ðµ cüa bÕn th¤p h½n %d, nên không tÕo ðßþc loÕi phòng này",
msg_dungeon_room_err16,"BÕn ðã có phòng r°i, nên không th¬ tÕo thêm phòng næa",
msg_dungeon_room_err17,"S¯  phòng cüa h® th¯ng ðã ðÕt mÑc gi¾i hÕn, không th¬ tÕo thêm phòng næa. ",
msg_dungeon_room_err18,"Trß·ng phòng không ðßþc ð±i nhóm",
msg_dungeon_room_err19,"Không th¬ gia nh§p nhóm cüa mình.",
msg_dungeon_room_err2,"%s thành viên ðã · trong phòng.",
msg_dungeon_room_err20,"Không th¬ trøc xu¤t trß·ng phòng ra khöi phòng",
msg_dungeon_room_err21,"%s không online",
msg_dungeon_room_err22,"PVE không th¬ ð±i nhóm",
msg_dungeon_room_err23,"BÕn vçn chßa vào phòng nào",
msg_dungeon_room_err3,"%s thành viên có c¤p ðµ dß¾i c¤p %d",
msg_dungeon_room_err4,"%s nh§p m§t mã sai",
msg_dungeon_room_err5,"%s thành viên có c¤p ðµ th¤p h½n c¤p ðµ %d phòng yêu c¥u",
msg_dungeon_room_err6,"BÕn ðang trong nhóm nên không th¬ tÕo ðßþc phòng",
msg_dungeon_room_err7,"BÕn ðang trong trÕng thái chiªn ð¤u nên không th¬ tÕo ðßþc phòng",
msg_dungeon_room_err8,"Ban ðang trong c¤m ð¸a nên không th¬ tÕo phòng",
msg_dungeon_room_err9,"PVE chï có th¬ nh§p nhóm 1",
msg_dungeon_room_error1,"BÕn b¸ trß·ng phòng trøc xu¤t ra khöi phòng",
msg_dungeon_room_error2,"Vì trß·ng phòng ðã r¶i khöi phòng, nên phòng b¸ giäi tán",
msg_dungeon_room_error3,"BÕn ðã r¶i khöi phòng, vì v§y phòng s¨ b¸ giäi tán",
msg_dungeon_room_error4,"BÕn ðã r¶i phòng.",
msg_dungeon_room_invite1,"[%s]M¶i bÕn ra nh§p phòng [%s], bÕn có ð°ng ý không?",
msg_dungeon_room_invite2,"Hãy nh§p tên cüa ngu¶i m¶i:",
msg_dungeon_room_invite3,"Xác nh§n thñc sñ mu¯n r¶i phòng?",
msg_dungeon_room_invite4,"Xác nh§n thñc sñ mu¯n trøc xu¤t %s khöi phòng?",
msg_dungeon_room_request,"[%s] mà bÕn báo danh ðã s¡p xªp thành công, sau khi sÇn sàng hãy nh¤n nút xác nh§n",
msg_dungeon_room_timeout,"Do s¯ ngß¶i tham gia thi ð¤u không ðü nên vi®c báo danh vào [%s] cüa bÕn ðã th¤t bÕi ",
msg_dungeon_room1,"%s vçn chßa chu¦n b¸ xong",
msg_dungeon_room2,"%s không online",
msg_dungeon_room3,"Hôm nay %s ðã vßþt quá hÕn mÑc s¯ l¥n tham gia thi ð¤u cüa tu luy®n trß¶ng",
msg_dungeon_room4,"— tu luy®n trß¶ng này, m²i ðµi chï có th¬ có t¯i ða %d ngß¶i tham gia.",
msg_dungeon_room5,"tu luy®n trß¶ng PVP yêu c¥u ít nh¤t phäi có t× 2 ðµi tham gia tr· lên, và s¯ thành viên cüa ðµi thÑ 2 không th¬ là 0",
msg_dungeon_room6,"— tu luy®n trß¶ng này, m²i ðµi phäi có ít nh¤t  %d ngß¶i tham gia.",
msg_dungeon_room7,"Tu luy®n trß¶ng trß¾c vçn chßa ðßþc hüy, xin hãy ch¶ mµt lát r°i thØ lÕi",
msg_dungeon_search,"Hãy nh§p s¯ phòng mu¯n tìm kiªm:",
msg_dungeon_selamap,"Hãy ch÷n 1 bän ð°",
msg_dungeon_state0,"Ðþi ð¯i phß½ng khóa v§t ph¦m",
msg_dungeon_state1,"Ðang thi ð¤u",
msg_dungeon_txt1,"— ki¬u này, quái v§t s¨ ào ào xu¤t hi®n, và ngày càng mÕnh. Quái v§t s¨ ði theo mµt tuyªn ðß¶ng c¯ ð¸nh, và t¤n công NPC Kh± Hành Ð¥u Ðà, vi®c ngß¶i ch½i c¥n làm là tiêu di®n quái v§t ð¬ bäo v® NPC ( bän ð° PVE, có th¬ thu ðßþc ði¬m PVE)",
msg_dungeon_txt2,"— ki¬u này, ngß¶i ch½i phäi cån cÑ theo hß¾ng dçn cüa NPC ð¬ ði ðánh bÕi v§t tßþng trßng cüa quân ð¸ch ho£c tích lûy ðßþc s¯ ði¬m cao h½n trong cùng mµt khoäng th¶i gian ð¬ giành chiªn th¡ng ( Bän ð° PVP, có th¬ thu ðßþc ði¬m PVP)",
msg_dungeon_type1,"Bäo v® Kh± Hành Ð¥u Ðà",
msg_dungeon_type2,"Tu luy®n trß¶ng",
msg_dungeon_win,"Th¡ng lþi huy hoàng",
msg_dungeon_zhunbei,"Chu¦n b¸",
msg_dungeonteam_destroy_err1,"BÕn phäi ðþi trong giây lát m¾i có th¬ giäi tán nhóm",
msg_ectype_leavefailed,"Thoát th¤t bÕi, vui lòng thØ lÕi.",
msg_ectype_max,"Hi®n s¯ lßþng khu vñc ðã ðÕt dªn gi¾i hÕn, vui lòng thØ lÕi sau.",
MSG_ECTYPE_RIDE_ERR_1,"Thú cßÞi yêu c¥u phäi ðÕt ðªn c¤p %d m¾i có th¬ cßÞi trong c¤m ð¸a",
msg_effect_time1,"Th¶i gian còn lÕi là %d ngày %d gi¶ %d phút",
msg_effect_time2,"Th¶i gian còn lÕi là %d gi¶ %d phút",
MSG_ENCHANT,"Khóa ð¸nh linh h°n",
msg_enchant_clear_ask,"BÕn th§t sñ mu¯n hüy vi®c khóa ð¸nh linh h°n cüa[%s]?",
MSG_ENCHANT_ERROR1,"Không tìm th¤y v§t ph¦m này trong b¯i bao.",
MSG_ENCHANT_ERROR2,"Không tìm th¤y Thiên Ð¸a Tinh Hoa trong b¯i bao.",
MSG_ENCHANT_ERROR3,"Không tìm th¤y Linh H°n Thüy Tinh trong b¯i bao.",
MSG_ENCHANT_ERROR4,"V§t ph¦m này không th¬ khóa ð¸nh linh h°n.",
MSG_ENCHANT_ERROR5,"Vui lòng ð£t Thiên Ð¸a Tinh Hoa vào",
MSG_ENCHANT_ERROR6,"Vui lòng ð£t Linh H°n Thüy Tinh vào",
MSG_ENCHANT_ERROR7,"V§t ph¦m này v¯n ðã b¸ khóa ð¸nh linh h°n.",
MSG_ENCHANT_ERROR8,"Vui lòng ð£t trang b¸ ho£c pháp bäo c¥n khóa ð¸nh linh h°n vào.",
MSG_ENCHANT_ERROR9,"BÕn chï có th¬ tiªn hành khóa ð¸nh linh h°n ð¯i v¾i nhæng v§t ph¦m có th¬ trang b¸",
MSG_ENCHANT_HINT,"Hãy ð£t v§t ph¦m vào 3 ô tr¯ng phía trên, ô phía dß¾i s¨ cho th¤y v§t ph¦m sau khi ðã khóa ð¸nh linh h°n.",
MSG_ENCHANT_ITEM1,"Pháp bäo/ Trang b¸",
MSG_ENCHANT_ITEM2,"Thiên Ð¸a Tinh Hoa",
MSG_ENCHANT_ITEM3,"Linh H°n Thüy Tinh",
MSG_ENCHANTCLEAR_ERROR1,"Không tìm th¤y bäo thÕch trong b¯i bao",
MSG_ENCHANTCLEAR_ERROR2,"Không phäi bäo thÕch thích hþp",
msg_enchant_luck_err,"Pháp bäo chính ð¬ khóa ð¸nh linh h°n không th¬ xem là v§t ph¦m may m¡n",
MSG_ENCHANTCLEAR_ERROR3,"V§t ph¦m này không c¥n giäi tr× khóa ð¸nh linh h°n",
msg_enemy_add_enemy_hint,"Thêm kë thù ",
msg_enemy_input_user_name,"Vui lòng nh§p tên kë thù ",
msg_enemy_title,"Bäng kë thù ",
msg_enemy_user_lost,"Phøc thù",
msg_enemy_user_name,"Tên kë thù",
msg_enemy_user_stat,"TrÕng thái",
msg_enemy_user_win,"Th¤t bÕi",
msg_energy,"Pháp lñc",
msg_enter_dungeon_dead,"%s ðang trong trÕng thái tØ vong, nên không th¬ ra nh§p tu luy®n trß¶ng",
msg_enter_dungeon_room_wrong,"BÕn ðã có phòng r°i nên không th¬ ra nh§p phòng khác",
msg_enter_battle,"Chiªn ð¤u!",
msg_enter_pk_plaza,"Hãy sØ døng t± hþp phím Ctrl+X ð¬ chuy¬n ð±i hình thÑc PK.",
MSG_EQUIP_CONFIRM,"Sau khi trang b¸ [%s], nó s¨ khóa ð¸nh vînh vi­n v¾i bÕn, bÕn th§t sñ mu¯n trang b¸?",
MSG_EQUIP_CONFIRM_,"Xác nh§n khóa ð¸nh",
MSG_EQUIP_ERROR1,"V§t ph¦m này không th¬ trang b¸",
MSG_EQUIP_ERROR2,"Trang b¸ không phù hþp v¾i môn phái",
MSG_EQUIP_ERROR3,"Không th¬ trang b¸ lúc ðang sØ døng v§t ph¦m",
MSG_EQUIP_ERROR4,"Không th¬ trang b¸ lúc ðang bö ra.",
MSG_EQUIP_ERROR5,"TrÕng thái hi®n nay cüa bÕn không th¬ trang b¸",
MSG_EQUIP_ERROR6,"Không th¬ ð±i pháp bäo khi ðang trong trÕng thái chiªn ð¤u",
MSG_EQUIP_ERROR7,"Không th¬ trang b¸ cùng lúc hai pháp bäo h² trþ cùng loÕi",
MSG_EQUIP_ERROR8,"Không th¬ tháo pháp bäo khi ðang trong trÕng thái chiªn ð¤u",
msg_error,L²i,
msg_error_ectype_notfind,"Chßa tìm th¤y c¤m ð¸a!",
msg_event_create_level_up,"BÕn ðã lên c¤p!",
msg_event_hp_level_up,"Sinh m®nh tång thêm %d ði¬m.",
msg_event_mp_level_up,"Pháp lñc tång thêm %d ði¬m.",
msg_exit_game,"BÕn th§t sñ mu¯n r¶i khöi tam gi¾i?",
msg_exit_game_err1,"BÕn ðang · trong trÕng thái chiªn ð¤u, xin vui lòng ch¶",
MSG_EXP_X,"%s%s %d ði¬m kinh nghi®m",
msg_expr_add_underling_npc,"G÷i tùy tùng",
msg_expr_ai_invalid,"ai vô hi®u",
msg_expr_create_npc,"TÕo NPC",
msg_expr_delete_npc,"NPC tñ ðµng biªn m¤t",
msg_expr_set_ai,"Ði«u chïnh ai",
MSG_FINAL_SKILL,"kÛ nång kªt tr§n, cån cÑ vào ði¬m chiªn ð¤u quyªt ð¸nh sát thß½ng tÕo ra.",
msg_fire,Höa,
msg_firearm,"Kháng Höa",
MSG_FIREARM_HINT,"Giäm sÑc sát thß½ng Höa H® cüa kë ð¸ch c¤p ðµ %d xu¯ng: %.2f%% ",
msg_float_info1,"Dao ðµng lên trên",
msg_float_info2,"Dao ðµng xu¯ng dß¾i",
msg_float_info3,"Dao ðµng hình cung",
msg_float_info4,"Hªt hi®u Ñng",
msg_fo,Ph§t,
msg_foarm,"Kháng Ph§t",
MSG_FOARM_HINT,"Giäm sÑc sát thß½ng Ph§t H® cüa kë ð¸ch c¤p ðµ %d xu¯ng: %.2f%% ",
msg_follow_pop_menu_add_info,"Ði theo",
msg_follow1,"Ðang ði theo.",
msg_follow2,"Khoäng cách quá xa, không th¬ ði theo.",
msg_friend_add_friend_hint,"Thêm ðÕo hæu",
msg_friend_block_list_full,"Danh sách ðen ðã ð¥y, không th¬ thêm tên næa!",
msg_friend_code_no_complete,"[%s] không th¬ xác ð¸nh thân ph§n, ÐÕo hæu, bÕn chßa nh§p mã s¯ · ðây!",
msg_friend_code_no_complete2,"ÐÕo hæu, bÕn chßa nh§p mã s¯ · ðây!",
msg_friend_code_no_complete3,"Không th¬ xác ð¸nh thân ph§n ngß¶i ch½i này, ÐÕo hæu, bÕn chßa nh§p mã s¯ · ðây!",
msg_friend_enemy_list_full,"Bäng kë thù ðã ð¥y, không th¬ thêm næa!",
msg_friend_enterworld,"ÐÕo hæu [%s] cüa bÕn hi®n có m£t",
msg_friend_friend_list_full,"Bäng ðÕo hæu ðã ð¥y, không th¬ thêm ðÕo hæu!",
msg_friend_input_user_name,"Vui lòng nh§p tên ngß¶i ch½i mu¯n kªt bÕn.",
msg_friend_leaveworld,"ÐÕo hæu [%s] cüa bÕn hi®n v¡ng m£t",
msg_friend_offline,"V¡ng m£t",
msg_friend_online,"Có m£t",
msg_friend_other_add_you,"[%s] ðã m¶i kªt häo hæu",
msg_friend_other_add_you_add_info,"[%s] ðã m¶i kªt häo hæu, ðÕo hæu có mu¯n thêm ngß¶i này vào danh sách häo hæu cüa mình?",
msg_friend_other_already_your_block,"[%s] ðã · trong danh sách ðen cüa bÕn r°i!",
msg_friend_other_already_your_enemy,"[%s] ðã · trong danh sách kë thù cüa bÕn r°i!",
msg_friend_other_already_your_friend,"[%s] ðã là ðÕo hæu cüa bÕn r°i!",
msg_friend_other_del_your,"[%s] ðã xóa tên ðÕo hæu khöi danh sách häo hæu",
msg_friend_other_is_not_your_block,"Ngß¶i ch½i này không n¢m trong danh sách ðen cüa bÕn!",
msg_friend_other_is_not_your_enemy,"Ngß¶i ch½i này không n¢m trong bäng kë thù cüa bÕn!",
msg_friend_other_is_not_your_friend,"Ngß¶i ch½i này không phäi là ðÕo hæu cüa bÕn!",
msg_friend_title,"Bäng ðÕo hæu",
msg_friend_this_user_not_exist,"Ngß¶i ch½i [%s] không t°n tÕi!",
msg_friend_user_info_flag,"[%s]
TrÕng thái: %s
Môn phái: %s
C¤p ðµ: %d
Khu vñc: %s",
msg_friend_user_info_flag1,"Không biªt",
msg_friend_user_name,"Tên häo hæu",
msg_friend_user_stat,"TrÕng thái",
msg_full_screen_can_not_switch_chat_window,"— chª ðµ toàn màn hình không th¬ chuy¬n sang cØa s± hàn huyên!",
msg_function_not_realized,"ChÑc nång này vçn chßa thñc hi®n!",
MSG_FUSE_ERROR1,"Ð£t pháp bäo ho£c trang b¸ c¥n giám ð¸nh vào bên trái, ð£t bäo thÕch vào bên phäi.",
MSG_FUSE_ERROR2,"Phäi ð£t pháp bäo ho£c trang b¸ c¥n giám ð¸nh vào trß¾c",
MSG_FUSE_ERROR3,"Phäi ð£t bäo thÕch vào trß¾c",
MSG_FUSE_ERROR4,"Chï có th¬ giám d¸nh nhæng v§t ph¦m hiªm có.",
msg_game_setting_text,"Tùy ch÷n trong trò ch½i cüa bÕn ðã có thay ð±i, có phäi bÕn mu¯n giæ sñ thay ð±i này ?


 Trong %2d giây h°i phøc",
msg_game_setting_title,"Tùy ch÷n",
msg_gemmy_ask,"Ma thÕch sau khi khäm nÕm s¨ ðính trên [%s], sau %d ngày thuµc tính này s¨ tñ ðµng m¤t. BÕn th§t sñ mu¯n làm nhß v§y?",
msg_gemmy_clear_ask,"BÕn th§t sñ mu¯n hüy nång lßþng ma thÕch trên [%s]?",
MSG_GEMMY_ERROR1,"Không tìm th¤y v§t ph¦m này trong b¯i bao.",
MSG_GEMMY_ERROR2,"Không tìm th¤y ma thÕch trong b¯i bao.",
MSG_GEMMY_ERROR3,"V§t ph¦m này không th¬ khäm nÕm ma thÕch.",
MSG_GEMMY_ERROR4,"V§t ph¦m này tÕm th¶i không th¬ khäm nÕm thêm ma thÕch.",
MSG_GEMMY_ERROR5,"Ma thÕch này chï có th¬ khäm nÕm vào v§t ph¦m c¤p cao h½n.",
MSG_GEMMY_ERROR6,"Ma thÕch này không th¬ khäm nÕm vào loÕi v§t ph¦m này.",
MSG_GEMMY_ERROR7,"khäm nÕm th¤t bÕi, nguyên nhân do sau khi khäm nÕm v§t ph¦m này s¨ không th¬ sØ døng ðßþc.",
MSG_GEMMYCLEAR_ERROR1,"Không tìm th¤y Nång Lßþng Kªt Tinh trong b¯i bao. ",
MSG_GEMMYCLEAR_ERROR2,"Vui lòng ð£t Nång Lßþng Kªt Tinh vào.",
MSG_GEMMYCLEAR_ERROR3,"V§t ph¦m này không c¥n giäi tr× Ma ThÕch Nång Lßþng.",
MSG_GENDER_MUST_BE,"Gi¾i tính phäi là %s",
MSG_GET_," ðßþc",
msg_get_exp,"BÕn thu ðßþc %d ði¬m kinh nghi®m",
msg_get_item,"%s ðã l¤y v§t ph¦m: %s",
msg_get_item_failed,"L¤y v§t ph¦m b¸ th¤t bÕi",
msg_get_warflag_error,"Trong 30 phút chï ðßþc thân lînh công thành l®nh kÏ mµt l¥n",
MSG_GETITEM,"%s l¤y ðßþc v§t ph¦m: [%s]",
msg_god1,"Trúc C½",
msg_god1_1,"Trúc C½ Ti«n KÏ",
msg_god1_2,"Trúc C½ Trung KÏ",
msg_god1_3,"Trúc C½ H§u KÏ",
msg_god10,"Không rõ",
msg_god10_1,"Không rõ",
msg_god10_2,"Không rõ",
msg_god10_3,"Không rõ",
msg_god11,%03.4f%%,
msg_god12,"TØ Huy«n Quä: Lúc bª quan m²i gi¶ EXP tång %d, linh lñc tång %d, m¤t %d quä.",
msg_god13,"Nguyên Linh Tinh Phách: Lúc bª quan m²i gi¶ linh lñc tång %d, m¤t %d cái.",
msg_god14,"M²i gi¶ tiêu hao %d ði¬m nguyên th¥n lñc, tång %d kinh nghi®m, %d linh lñc",
msg_god15,"Vßþt qua gi¾i hÕn linh lñc cao nh¤t, không th¬ l¤y thêm linh lñc",
msg_god16,"%d / %d",
msg_god17,"%d / %d",
msg_god18,"Kinh nghi®m: %d /  %d",
msg_god19,"Linh lñc: %d /  %d",
msg_god2,"Nguyên Linh",
msg_god2_1,"Nguyên Linh Ti«n KÏ",
msg_god2_2,"Nguyên Linh Trung KÏ",
msg_god2_3,"Nguyên Linh H§u KÏ",
msg_god20,"L¥n bª quan này tiêu hao %d ði¬m nguyên th¥n lñc, có ðßþc %d kinh nghi®m, %d linh lñc, tiêu hao %d TØ Huy«n Quä, %d Nguyên Tinh Linh Phách.",
msg_god21,"T× c¤p 10 tr· ði m¾i có th¬ sØ døng h® th¯ng nguyên th¥n!",
msg_god22,"C¤p ðµ t¯i thi¬u cho phép sØ døng TØ Huy«n Quä là %d",
msg_god3,"Nµi Ðan",
msg_god3_1,"Nµi Ðan Ti«n KÏ",
msg_god3_2,"Nµi Ðan Trung KÏ",
msg_god3_3,"Nµi Ðan H§u KÏ",
msg_god4,"Nguyên Anh",
msg_god4_1,"Nguyên Anh Ti«n KÏ",
msg_god4_2,"Nguyên Anh Trung KÏ",
msg_god4_3,"Nguyên Anh H§u KÏ",
msg_god5,"Linh T¸ch",
msg_god5_1,"Linh T¸ch Ti«n KÏ",
msg_god5_2,"Linh T¸ch Trung KÏ",
msg_god5_3,"Linh T¸ch H§u KÏ",
msg_god6,"Th¥n Thông",
msg_god6_1,"Th¥n Thông Ti«n KÏ",
msg_god6_2,"Th¥n Thông Trung KÏ",
msg_god6_3,"Th¥n Thông H§u KÏ",
msg_god7,"Xu¤t Oa",
msg_god7_1,"Xu¤t Oa Ti«n KÏ",
msg_god7_2,"Xu¤t Oa Trung KÏ",
msg_god7_3,"Xu¤t Oa H§u KÏ",
msg_god8,"Phân Thân",
msg_god8_1,"Phân Thân Ti«n KÏ",
msg_god8_2,"Phân Thân Trung KÏ",
msg_god8_3,"Phân Thân H§u KÏ",
msg_god9,"Hþp Th¬",
msg_god9_1,"Hþp Th¬ Ti«n KÏ",
msg_god9_2,"Hþp Th¬ Trung KÏ",
msg_god9_3,"Hþp Th¬ H§u KÏ",
msg_godblock,"BÕn cäm th¤y g£p phäi khó khån trong lúc tu luy®n, không th¬ vßþt qua ðßþc!",
msg_godok,"TrÕng thái bình thß¶ng",
MSG_GOLD_NOTENOUGH,"Ngân lßþng cüa bÕn không ðü",
MSG_GOLD_STYLE1,"%s%s %d lßþng vàng %d lßþng bÕc %d ð°ng",
MSG_GOLD_STYLE2,"%s%s %d lßþng bÕc %d ð°ng",
MSG_GOLD_STYLE3,"%s%s %d ð°ng",
msg_greentoblue_fail,"Chuy¬n ð±i th¤t bÕi",
msg_greentoblue_success,"Chuy¬n ð±i thành công",
msg_gtob_ask,"BÕn th§t sñ mu¯n chuy¬n hóa thuµc tính cüa [%s]?",
msg_gtob_must_canequip,"Møc tiêu phäi phù hþp ði«u ki®n trang b¸.",
msg_gtob_must_green,"Màu s¡c cüa v§t ph¦m møc tiêu không phù hþp",
msg_gtob_must_weaarm,"Møc tiêu phäi là pháp bäo ho£c trang b¸.",
MSG_GUILD,"Bang hµi",
msg_guild_build,"Sau bao n² lñc, (%s) ðã tÕo thành công bang hµi (%s), chúng ta hãy cùng ðón chào bang hµi m¾i!",
msg_guild_levup,"Bang (%s) ðã ð°ng tâm hi®p lñc cùng ph¤n ð¤u, nay ðÕt c¤p ðµ (%d), th§t ðáng m×ng!",
MSG_GUILD_MEMBER_MAX,"Gi¾i hÕn",
MSG_GUILD_NEXTTM,"Bang hµi chiªn s¨ b¡t ð¥u t× 20:00 ðªn 21:00 m²i thÑ 3, 5, CN hàng tu¥n, th¶i gian ðång ký tham gia bang chiªn là trß¾c 19:00. Sau khi l¥n bang chiªn này kªt thúc lúc 21:00 thì có th¬ b¡t ð¥u ðång ký cho l¥n sau. Th¶i gian cüa l¥n bang hµi chiªn tiªp theo s¨ là %s.",
msg_guild_win,"Bang hµi (%s) ðã chiªn th¡ng Huyªt Th¥n ÐÕi Chiªn, tång 5000 ði¬m ph°n vinh!",
msg_guildmaster_kill,"Tr¶i ð¤t quÖ th¥n ½i! Huyªt Th¥n Phü thành chü %s ðã b¸ %s ðánh bÕi r°i!",
MSG_GUILDWAR,"Bang Hµi Chiªn B¯ Cáo Bäng",
MSG_GUILDWAR_ASK,"Xác nh§n tuyên chiªn v¾i bang hµi [%s], ð°ng th¶i chi trä %s vàng?",
MSG_GUILDWAR_BEGIN,"Bang hµi chiªn b¡t ð¥u.",
MSG_GUILDWAR_END,"Bang hµi chiªn kªt thúc.",
MSG_GUILDWAR_ERROR1,"Không tìm ðßþc bang hµi c¥n tìm",
MSG_GUILDWAR_ERROR2,"ÐÕo hæu không là thành viên bang hµi nên không th¬ tuyên chiªn.",
MSG_GUILDWAR_LSTTM,"%s - %s - %s c§p nh§t",
MSG_GUILDWAR_NOTOPEN,"H® th¯ng Bang hµi chiªn chßa m·",
